barcode	current_name	proposed_name	decision	reason
1210000100269	סאות'רן קומפורט 1 ל'	ויסקי סאות'רן	reject	loses size (1L) and truncates brand name (drops "Comfort")
1230000147576	נאגטס בסגנון עוף ביונד מיט	נאגטס ביונד מיט 200 גרם	accept	adds concrete weight; product line (Beyond Meat nuggets) already implies chicken-style
131255	משמש אוזבקי	מניעת אובדן	reject	clearly wrong/garbled, "loss prevention" does not correspond to the product
13409351000	רוטב ברביקיו סוויט ב	רוטב ברביקיו בטעם מע	reject	low-confidence capping-fallback, proposal more garbled than current
13409351505	רוטב סוויט בייבי ריי	רוטב ברביקיו בטעם מע	reject	low-confidence capping-fallback, loses clear brand (Sweet Baby Ray's)
13495113537	קליק חום לבן 75 גרם.	קליק חום-לבן.	reject	loses weight (75g)
135342	טמפו סודה 500 מ"ל	סודה טמפו 500 מ"ל	reject	same words reordered, no real change
14046474	נקנקיות עוף 1.5 קג	נקניקיות עוף	reject	loses weight (1.5kg) despite fixing a spelling typo
14100077084	עוגיות פפרידג' עם עו	פפרידג פארם עוגיות צ	reject	low-confidence capping-fallback, both fragments incomplete
14100078845	פפריג' עוגיות פפרידג	פפריג' שיש צימוק 244	reject	low-confidence capping-fallback, truncated, can't verify completeness
14100079477	עוגיות פפרידג' מילנו	עוגיות מילאנו סנדווי	reject	low-confidence capping-fallback, loses brand, current already clear and complete
1478318	אסאדו עם עצם קפוא בעדני	אסדו עם עצם בעדני קפוא	reject	reordering only, introduces a spelling issue (אסאדו -> אסדו)
1521430376309	תות פקיסטני/אפגני	אננס	reject	conflicting fruit identity (strawberry vs pineapple)
1567142	סלמי תה מפולפל שקיל {יחיעם}	סלמי תה מפולפל שקיל{יחיעם}	reject	purely a missing-space formatting difference, no real improvement
16000122543	ג'נרל מילס דגני בוקר	דגניי בוקר קינמון	accept	adds the actual distinguishing flavor (cinnamon), which current's brand-only name lacks; minor typo tolerated
16000182424	נייטשר ואלי נאט קרים עם שקדים	נייטשר וואלי נאט קרי	reject	truncated capping-fallback, drops "with almonds" ingredient info
16229906436	מחית קארי צהוב ארוי	מחית קארי צהוב כשר 4	reject	truncated/incomplete capping-fallback source
16229910556	רוטב תמרינדי מרוכז א	רוטב תמרינדי מרוכז 4	reject	both truncated capping-fallback, no confident improvement
16229914578	מי קוקוס טבעי פוקו 1 ל'	מי קוקוס טבעי פוקו 1 ל	reject	trivial punctuation-only difference, not worth changing
16500980322	S.O.Sצמר פלדה עם חומ	צמר פלדה עם חומר פעי	reject	both truncated, proposal loses brand (S.O.S), capping-fallback
1724826114510	יין סטון וואלי זינפנ	סטאן וואלי זיפנדל	reject	introduces brand typo (Stan vs Stone) despite completing varietal name
1724826154516	יין סטון וואלי ק.סוב	יין סטון וואלי קברנה	accept	clarifies varietal (Cabernet) vs a cryptic abbreviation, brand kept
17619025065	יין אופרה פרימה מימו	אופר פרימה מימוזה 75	reject	capping-fallback, still truncated, brand possibly misspelled (אופר vs אופרה), drops "wine"
18000703517	פילסברי עוגת שיש 425	תערובת לעוגת שיש	accept	clarifies critical product type (cake mix vs cake) despite losing brand and weight
18176783009	נפוליטנס שוקולד מריר	סוויס מריר 100 גר	reject	loses specific product line name (Napolitains) for vague "Swiss"
18176785508	שוקולד טורינו חלב 100 גר	שוקולד טורינו חלבי 100גר	reject	no meaningful content difference
189274	תחליף גבינה מעושנת	צהובה מעושנת במשקל	reject	loses critical "substitute" (non-dairy alternative) designation
191187	דג הרינג שלם בוואקום	הרינג שלם מלוח	accept	"salted" is a more meaningful distinguishing trait than "vacuum packed" packaging note
192568960008	ממתק אבקת כוכבים גומ	לקקן גריקן אבקת קסם	reject	conflicting product type/brand, likely mismatched candidate
194048	ירכיים עוף טרי תפזורת מחפוד	ירכיים עוף טרי בקצביה מחפוד	reject	swaps one descriptor for another with no net gain
194055	שוקיים עוף טרי תפזורת מחפוד	שוקיים עוף טרי בקצביה מחפוד	reject	same as above
194536	חזה עוף טרי ארוז מחפוד	חזה עוף טרי מחפוד ארוז	reject	same words reordered, no info change
194543	כרעיים עוף מחפוד טרי ארוז	כרעיים עוף טרי מחפוד ארוז	reject	same words reordered, no info change
194574	מחפוד שוקיים עוף טרי ארוז	שוקיים עוף טרי מחפוד ארוז	reject	same words reordered, no info change
194734000075	ליקריץ אולסורט 200 ג	לקריץ אולסורט	reject	loses weight (200g), introduces spelling issue
194961002408	שניידרס וופל בלגי מי	שניידרס ופל בלגי	reject	introduces misspelling (ופל instead of וופל)
19582000568	בולס איי רוטב ברביקיו אוריגינל 496 גר	בולס-איי רוטב ברביקיו אוריג`ינל 497גר	reject	conflicting weight (496 vs 497) and stray backtick artifact
195949121487	אוזניה טייפ סי	אוזניות טייפסי	reject	no clear net improvement, both have wording issues
196633886255	שקיות פסגור קירקלנד	זיפלוק קירק לנד	accept	corrects to the recognizable brand term (Ziploc) vs an unclear term
196633886262	שקיות פסגור קירקלנד	זיפלוק קירק לנד	accept	same as above
1979853	בוטנים מצופים בטעמים במשקל	בוטנים מצופים בטעמים שקיל	reject	no genuine improvement, same meaning
1979891	מנגו מיובש דל סוכר במשקל	מנגו מיובש דל סוכר שקיל.	reject	no genuine improvement, trailing-period artifact
2018011151497	מכונת צעצוע	לגו	accept	adds a specific, useful brand identity (Lego) vs a vague generic description
2029526	עוף טרי ארוז שארית ישראל.	עוף טרי ארוז גלאט ירושלים	reject	conflicting kosher certification/brand (She'erit Israel vs Glatt Jerusalem)
2029533	חזה עוף טרי ארוז שארית ישראל.	חזה עוף טרי ארוז גלאט ירושלים	reject	same kosher-brand conflict
2029540	כרעיים עוף טרי ארוז שארית ישראל.	כרעיים עוף טרי ארוז גלאט ירושלים	reject	same kosher-brand conflict
2029557	כנפיים עוף טרי ארוז שארית ישראל.	כנפיים עוף טרי ארוז גלאט ירושלים	reject	same kosher-brand conflict
20456917	מגבונים לניקוי משטחים	מגבון ניקוי כללי	reject	no genuine improvement, less grammatically accurate for a multi-wipe pack
205915	האגיס אקסטרא קר מידה 4	האגיס אקסטרה קר מידה 4	reject	trivial spelling variant only
20714004507	ALMOST L/S-BLACK HONEY 1.9 גרם	שפתון מראה טבעי שחור דבש	accept	clarifies product type (lipstick) and shade in readable Hebrew vs a cryptic English SKU code
2105015	רבע כבש חלק קפוא מחפ	רבע כבש מחפוד קפוא.	reject	loses kosher chalak designation
2105220	בשר מס 8 קפוא חלק מחפוד שריר	שריר הזרוע 8 בקר קפוא מחפוד.	reject	loses kosher chalak designation despite added cut precision
2105749	טחון בקר%100ק"ג קפוא מחפוד	טחון בקר מחפוד 100% 1 ק"ג	accept	fixes garbled spacing/formatting, same information content, clearer
2111672	רוטב עגבניות 22% מבורך	רוטב עגבניות מרוכז פ"מ	reject	loses concentration % and brand, unclear replacement
2112249643004	גומי דובדבן	גומי ענק	reject	loses flavor (cherry) for an unrelated size claim, likely mismatched
2129943	פילה מדומה טרי יבוא חלק צרפתי/ פולני	פילה מדומה טרי יבוא חלק צרפתי / פולני	reject	purely cosmetic spacing difference
21723339994	רוטב דגים 300 מ"ל	רוטב דגים 300מ"ל	reject	purely cosmetic, removes a space, no improvement
2225935	מחפוד הודו אדום טרי ארוז	הודו אדום מחפוד טרי**.	reject	introduces garbage artifact, loses "packaged"
225356700026	ואזלין	וזלין	reject	trivial spelling variant, no meaningful improvement
225935	בשר הודו אדום טרי ארוז מחפוד	הודו אדום א. מחפוד	reject	massive info loss (meat/fresh/packaged all dropped)
2370932	גבינת גאודה הולנדית-מעדניה	גבינת גאודה הולנדית שקיל.	reject	no clear net gain, trailing-period artifact
241541141	כובנה בעבודת יד	קובנה	reject	loses "handmade" quality descriptor
241541151	כובנה אישית	קובנה אישית	accept	spelling correction (ק vs כ) with no information loss, "individual" retained
2439714	כתף מרכזי טרי יבוא מוכשר ארגנטיני/ חסינ	כתף מרכזי טרי יבוא מוכשר ארגנטיני / חסינ	reject	purely cosmetic spacing fix, both still truncated identically
251071736388	פחמים לנרגילה	גחלים לנרגילה	reject	synonym swap, no genuine improvement
2511243	גבינה בולגרית 16% במשקל	בולגרית פח/רשת שקיל 16%	accept	adds a real packaging distinction (tin vs net) that differentiates actual SKUs, keeps fat %
2559030	כתף כבש עטרה קפוא	כתף כבש שלם עטרה	reject	loses "frozen" status, a significant fact for meat
25675120181	חמצוצים ממולא בטעם פירות 125 גר גורי	חמצוצים ממולא בטעמי פירות 125 גרם	reject	loses brand (Guri)
25675120198	חמצוצים ממולא בטעם תות שדה 125 גר גורי	חמצוצים ממולא בטעם תות שדה 125 גרם	reject	loses brand (Guri)
25675125438	פרוט רילס פירות 128 גרם	פרוט רילס פירות 127 גרם	reject	conflicting weight (128 vs 127), unverifiable
25675300231	נאטי צוז בר 50 גרם	פשקס נאטי צ`וז מגש	reject	loses weight, adds unclear/unverified prefix term
25675301795	מטבעות שוקולד ברשת חנוכה	מטבעות שוקולד ברשת פשקס	reject	loses meaningful "Hanukkah" seasonal descriptor for an unclear term
2587590	שקדים מסוכרים במשקל	לביבות כרובית 490גר	reject	completely wrong/mismatched product (almonds vs cauliflower latkes)
2603740	פילה סלמון קפוא (נטו)	פילה סלמון קפוא צ'ילה	accept	origin (Chile) is more useful to a shopper than the "(net)" weight notation it replaces
26635299541	בלון מיילר 26 צורות	בלון מיניונים	accept	specific theme (Minions) more useful than generic "shapes", despite losing the size number
26635301794	בלון מיילר 18- מרובע	בלון כלבים	accept	specific theme (dogs) likely more useful than a vague shape descriptor, despite losing size
26635360920	בלון מיילר 26 HB עברית-יום הולדת שמח נרות	בלון יום הולדת שמח נרות	reject	loses size and Hebrew-language specification
26635371773	בלון מיילר 18 HB - ק	בלון יום הולדת זהב	accept	current is truncated/unusable, proposed gives a complete usable descriptor
26635384469	בלון מיילר 26 צורות	בלון לול ענק	reject	unclear/likely mismatched word replacing generic "shapes"
27000001127	רוטב ברביקיו בטעם ח	רוטב ברביקיו האנטס	accept	completes with an actual brand name (Hunt's) vs a truncated fragment
27000001455	רוטב ברביקיו לתיבול	רוטב ברביקיו האנטס	accept	adds brand identity (Hunt's), purpose word is less critical
27271904011	מרינדת שום צילי ועשב	מרינדת שום צ'ילי ועש	reject	truncated capping-fallback, no improvement over already-clear current
27271904035	מרינדת דבש גינגר סרי	מרינדת דבש ג'ינג'ר ו	reject	both truncated capping-fallback, no clear winner
28200112507	פרלמנט ארוך פאקט 10*	קופסה פרלמנט נייט 10	reject	low-confidence capping-fallback, introduces unverified variant claim (Night)
28200133502	מרלבורו רד פאקט 10*2	קופסא מרלבורו רד קצר	reject	capping-fallback, loses pack count, unverified "short" claim
28200174604	פרלמנט בלו ארוך פאקט	קופסא פרלמנט בלו ארו	reject	both truncated capping-fallback, no improvement
2833923	פרלמנט סילבר בודד	PARLIAMENT SULVER	reject	typo in brand (SULVER), loses "single" designation
288659	סנו די גונגל 50מ"ל	סנו די !ג'ונגל	reject	loses size (50ml), stray punctuation artifact
2909804	פילה בקלה(מרלוזה)ארוז ללא עור.	פילה בקלה ללא עור קפוא	reject	loses species clarification (Merluza) and "packaged" status
298991	חזה אסאדו טלה טרי מחפוד	חזה כבש טרי מחפוד ש.ארץ	reject	changes meat type (lamb vs sheep) and cut name, unclear abbreviation added
30058569	נייר גלגול OCB גדול	אוסיבי	reject	massive info loss, drops product type and size
300884	צ'דר אנגלי כתום	צ`דר אנגלי שקיל	reject	loses color variant (orange) that distinguishes from white cheddar
30100487197	סנדוויץ קרקר ג. צדר	קרקר גבינה	reject	loses "sandwich" format and specific cheddar flavor
3010470155299	פריסקיז פטה בקר וירק	פריסקס בקר	reject	loses format (pate) and ingredient (vegetables), spelling issue
3012991021008	משקה רום נגריטה כהה	נגריטה רום אורג'ינל	reject	conflicting variant claim (dark vs original), capping-fallback
3012993057012	יין סקארלט דארק ברדי	יין אדום	reject	massive info loss, drops name entirely
3014260302818	אדוונטג' סנסטיב 35 רך	אורל בי מברשת שיניים	reject	conflicting brand claim, low-confidence capping-fallback, loses model/firmness
3014260306779	מברשת שיניים אורל בי לילדים 3-5	אורל בי מברשת שיניים לילדים 3-5	reject	same words reordered, no info change
30145221	אססי לק מקצועי 859	אססי - לק גוון 859	reject	lateral wording change, no informational gain
30147775	אססי לק מקצועי 856	אססי - לק גוון 856	reject	lateral wording change, no informational gain
30149403	אססי גל קוטור לק 138	אססי - ג'ל קוטור 138	reject	drops the word "polish" (לק) that specifies product type
30149410	אססי גל קוטור לק 10	אססי - ג'ל קוטור 10	reject	drops the word "polish" (לק)
30150331	אססי לק מקצועי 857	אססי - לק גוון 857	reject	lateral wording change, no informational gain
30151857	אססי גל קוטור לק 40	אססי - ג'ל קוטור 40	reject	drops the word "polish" (לק)
30151901	אססי גל קוטור לק 260	אססי - ג'ל קוטור 260	reject	drops the word "polish" (לק)
30151918	אססי גל קוטור לק 470	אססי - ג'ל קוטור 470	reject	drops the word "polish" (לק)
30151925	אססי גל קוטור לק 270	אססי - ג'ל קוטור 270	reject	drops the word "polish" (לק)
30151932	אססי גל קוטור לק 345	אססי - ג'ל קוטור 345	reject	drops the word "polish" (לק)
30151949	אססי גל קוטור לק 509	אססי - ג'ל קוטור 509	reject	drops the word "polish" (לק)
30151956	אססי גל קוטור לק 360	אססי - ג'ל קוטור 360	reject	drops the word "polish" (לק)
30151963	אססי גל קוטור לק 473	אססי - ג'ל קוטור 473	reject	drops the word "polish" (לק)
30151970	אססי גל קוטור לק 370	אססי - ג'ל קוטור 370	reject	drops the word "polish" (לק)
30152892	אססי לק מקצועי 858	אססי - לק גוון 858	reject	lateral wording change, no informational gain
30158863	אססי גל קוטור לק 514	אססי - ג'ל קוטור 514	reject	drops the word "polish" (לק)
30158887	אססי גל קוטור לק 484	אססי - ג'ל קוטור 484	reject	drops the word "polish" (לק)
30166677	אססי גל קוטור לק 50	אססי - ג'ל קוטור 50	reject	drops the word "polish" (לק)
3017800003558	אפונה וגזר דוסי 800	אפונה וגזר 800 גרם	reject	loses brand (Dosi)
3017800207901	שעועית ירוקה דוסי 80	שעועית ירוקה 800 גרם	reject	loses brand (Dosi) despite completing the weight
3017800245033	גרגרי חומוס דוסי 300	גרגרי חומוס 300 גרם	reject	loses brand (Dosi)
3017800501658	גרעיני תירס דוסי 300	תירס מתוק 300 גרם	reject	loses brand (Dosi)
3027030012541	תערובת להכנת קרם פטי	אבקה להכנת קרם פטיסי	reject	low-confidence capping-fallback, conflicting product-form claim (mix vs powder)
30271034077	רוטב פיצה דון פפינו 411 גרם	רוטב פיצה 425 גרם דון פפינו	reject	conflicting weight figure (411 vs 425), unverifiable
3029330032120	מארז 4יח לחמניות מקס	לחמניות המבורגיר	reject	loses count (4 units) and brand fragment
3029330072577	לחם פרוס טבעי	לחם צרפתי	reject	conflicting bread type/descriptor claim
3045140280803	שוקולד חלב מילקה פצפ	מילקה פצפוצי אורז	accept	completes the truncated variant name (rice crispies) that current cuts off
3046920010047	לינדט אקסלנס 78% 100	COCOA	reject	massive info loss (brand, cocoa %, weight all dropped)
3046920028004	לינדט אקסלנס שוקולד	שוקולד מריר מעולה	reject	loses brand (Lindt Excellence)
3046920029674	לינדט אקסלנס שוקולד	שוקולד מריר	reject	loses brand (Lindt Excellence)
3052910018924	ליקר מונין אבטיח 700	מונין אבטיח 700 מ"ל	reject	loses "liqueur" category designation, capping-fallback
3052910018948	ליקר מונין אלדברי 70	מונין אלדברי 700 מ"ל	reject	loses "liqueur" category designation, capping-fallback
3052911103063	ליקר מונין סאוור מיק	מונין סאוור מיקס SWE	reject	capping-fallback, truncated, loses "liqueur" word, adds unclear fragment
3061990144072	HERO Choco - ביסקווי	ביסקווטים	reject	massive info loss (brand, flavor dropped)
3068320011707	שישייה מים מינרלים ט	אויאן ליטר ששיה	accept	completes brand name (Evian) and adds size, vs a truncated fragment
3068320099651	מים מינרלים אוויאן 500 מל	מים מינרלים אוויאן 500מ"ל	reject	purely cosmetic unit-format change, no real improvement
3068320105314	שישיית מים מינרלים ט	ששיית אויאן 750	accept	completes brand name (Evian) and size (750), vs a truncated fragment
3068320111926	שישיית מים אויאן 1.5	מים מנרלים	reject	massive info loss (brand, size, pack count all dropped), misspelling
3073780591591	גבינה לה וואש קירי 12 192 גרם	גבינה לואש קירי 12 יח' 192 ג'	reject	degrades brand name (drops "La" prefix), no clear net gain
3073780828628	גבינת בייבי בל אדום	גבינה בייביבל	reject	loses "red" variant descriptor
3086123128323	מצת בודד	מצת קופה	reject	unclear replacement term, loses clear "single" quantity descriptor
3086123646278	מצית ארוקה	מצת ביג	reject	conflicting product category (lighter vs matzah), likely wrong match
3090291123035	גבינה אמנטל בפרוסות	מוטאבר	reject	garbled/unclear replacement, loses "sliced" format
3092718637927	סירופ טסייר בטעם פטל	סירופ צרפת טסייר פטל	accept	retains brand and flavor, adds origin (France), no real info loss
3107872600783	טקילה סאן חוסה גולד	טקילה סאן חוזה גולד	reject	trivial spelling variant, no real change
3141360054405	מפיץ ריח למדיח בניחו	מפיץ ריח למדיח לימון	accept	completes the truncated scent name (lemon)
3142640618102	יין סטורי פרובנס 750	יין סטורי 750 מל שקד	reject	loses region name (Provence), replaced by an unclear fragment
3142640618867	יין סטורי קוט דה פרו	יין סטורי 750 מל	reject	loses the specific appellation name (Côtes de Provence)
3147699101186	רום סיינט ג'יימס אימ	סיינט גיימס	reject	loses "rum" category word
3147699111154	גלן טרנר הריטג' סינג	GLEN TURUNER	reject	typo in brand name (TURUNER), massive info loss
3159560603279	יין ורייאטלז מרלו קא	קאלווה מרלו יין אדום	accept	completes the truncated brand (Calvet, matching the "קא" fragment), adds wine color
3159560603286	יין ורייאטלז קברנה ק	קאלווה קברנה סוביניו	accept	completes truncated brand (Calvet) and adds full varietal name (Cabernet Sauvignon)
3161911393210	חמאה נורמנדי מלוחה א	חמאת נורמנדי מלוחה	accept	drops a meaningless truncated trailing fragment, same substantive content
3168930008088	ציפס לייס בטעם בולונז	לייס ציפס 130 גר	reject	loses specific flavor (Bolognese), the main distinguishing trait
3168930159803	משקה 7אפ בטעם מוחיטו	סבן אפ מוחיטו	reject	no genuine improvement, just re-transliteration
3168930159834	משקה 7אפ בטעם דובדבן	סבן אפ שרי	reject	no genuine improvement, just re-transliteration
3168930159865	7 אפ טרופי	סבן אפ	reject	loses flavor (tropical)
3168930159896	משקה תה קר ליפטון אפ	LIPTON	reject	massive info loss, drops category and flavor
3168930159926	משקה תה קר ליפטון מו	ליפטוניק	reject	loses category info, unclear/garbled term
3168930159988	משקה תה קר ליפטון טע	משקה תיי	reject	loses brand and flavor
3168930162711	משקה תה קר ליפטון אב	מנט תאה	reject	drops brand, garbled/misspelled, unverified flavor claim
3168930168133	לייס בטעם תפוח אדמה טבעי	לייס ציפס טבעי 155 גר	accept	adds weight info without real loss, Lay's + chips already implies potato
3168930174462	משקה תה קר ליפטון לי	ליפטון לימון	accept	completes the truncated flavor (lemon) plausibly matching the "לי" fragment
3177383429012	קוניאק קרויזט 700 מל	וויסקי	reject	conflicting product category (cognac vs whiskey)
3179732348913	מים מינרליים פרייה 1	פרייה 1 ליטר פלסטיק	accept	completes size (1 liter) and adds packaging material, brand implies mineral water
3199240000646	גבינת עיזים למריחה 1	גבינת עזים למריחה צר	reject	both truncated, capping-fallback, no clear improvement
3228851000643	הריס לחם גדול	חלת בריוש	reject	loses brand (Harris), unverified bread-type change
322925	בשר צלי כתף מס' 5 בעדני פרגוואי	צלי כתף מס`5 קפוא הרב עדני	reject	loses origin (Paraguay), possibly conflicting brand name
3245390181022	ממרח ערמונים 325 גרם	קרפור ממרח ערמונים 3	reject	truncates weight info, low-confidence capping-fallback
3245412211393	שוקולד חלב מעולה 3*1	קרפור שוקולד חלב מעו	reject	loses pack format info, truncated, capping-fallback
3245412305115	שוקולד מריר עם מילוי	קרפור שוקולד מריר עם	reject	truncated, loses "with filling" completion, capping-fallback
3245413058881	פתי בר חמאה עם ציפוי	קרפור ביסקוויט עם שו	reject	loses specific biscuit type (Petit Beurre), truncated, capping-fallback
3245413200198	ביסקווייט בשוקולד לב	קרפור ביסקוויט בשוקו	reject	both truncated, capping-fallback, no confident improvement
3245990043317	מארז קוניאק הנסי 700	HENNESSY	reject	massive info loss
