slug	generic_key	primary	note
pumpkin	אקזוטית דלעת		same, feminine form
pumpkin	דלעת חתוכה		confirmed via produce_units Carrefour/Hatzi Hinam rows
pumpkin	דלעת יונית		Greek origin, price fits
pumpkin	דלעת יפנית		kabocha, common eating pumpkin, price fits
pumpkin	דלעת ישראלי		Israeli
pumpkin	דלעת מיני		confirmed via produce_units Victory row (their only pumpkin SKU)
pumpkin	דלעת ערמונים		chestnut/kabocha squash, most common eating pumpkin, price fits
pumpkin	דלעת פלחי		cut wedges, price fits
pumpkin	דלעת שקיל		sold by weight
quince	חבוש	yes	
quince	במשקל חבוש		sold by weight, higher grade
quince	חבוש יון		Greek origin
quince	חבוש ספרד		Spanish origin
radish	צנון	yes	
radish	בלדי צנון		price fits
radish	גדול צנון		confirmed via produce_units Super Yuda row
radish	ישראלי צנון		Israeli
radish	צנון שחור		black radish, price fits
squash-butternut	דלורית	yes	
squash-butternut	אורגנית דלורית		organic
squash-butternut	דלורית ישראלי		confirmed via produce_units Politzer row
squash-butternut	דלורית מנומר		spotted/variegated, price fits
sweet-potato	בטטה	yes	
sweet-potato	בטטה ביבי		baby size, price fits
sweet-potato	בטטה לבנה		white-fleshed variety, price fits
sweet-potato	בטטה מובחרת		select grade
sweet-potato	בטטה מיני		mini size
sweet-potato	בטטה מתוקה		confirmed via produce_units King Store row
sweet-potato	בטטה סגולה		purple/Okinawan variety, price fits
sweet-potato	בטטה קוסביה		cultivar, price close to range
tomato	עגבניה	yes	
tomato	אשכול עגבניה		same as plain tomato per spec
tomato	בחוץ עגבניה		loose
tomato	בקרטון עגבניה		in carton
tomato	ירדן עגבניה		Jordan origin, price fits
tomato	ישראלי עגבניה		Israeli
tomato	לבישול עגבניה		cooking tomatoes
tomato	מובחרת עגבניה		select grade
tomato	עגבניה תמר		same as plain tomato per spec
tomato-cherry	עגבניה שרי	yes	
tomato-maggie	מגי עגבניה	yes	
turnip	לפת	yes	
watermelon	אבטיח	yes	
watermelon	אבטיח אורגני		organic
watermelon	אבטיח אישי		personal size
watermelon	אבטיח ביבי		baby size
watermelon	אבטיח במיכל		in container
watermelon	אבטיח ג'ולי		Julie cultivar, price fits
watermelon	אבטיח גולי		confirmed via produce_units YELLOW row
watermelon	אבטיח מיני		mini size
watermelon	אבטיח שלם		whole, confirmed via produce_units Shufersal/Hatzi Hinam rows
zucchini	קישוא	yes	
zucchini	בקרטון קישוא		confirmed via produce_units Shufersal row
zucchini	זוקיני קישוא		redundant naming of the same vegetable
zucchini	זיקוני קישוא		alt spelling
zucchini	חממה קישוא		confirmed via produce_units Dabach row
zucchini	ירוק קישוא		green (redundant colour descriptor)
zucchini	ישראלי קישוא		confirmed via produce_units Politzer row
zucchini	מובחר קישוא		select grade, price fits
